aX,aY,aZ,gX,gY,gZ
-1.962,-1.68,-0.297,-0.018,0.049,0.008
-1.829,-1.844,-0.321,-0.04,0.003,-0.022
-1.553,-1.854,-0.43,0.056,-0.011,-0.006
-1.681,-1.861,-0.314,-0.072,-0.09,-0.031
-1.668,-1.853,-0.354,0.002,0.058,-0.01
-1.671,-1.638,-0.633,0.078,-0.026,-0.055
-1.757,-1.882,-0.352,-0.1,0.001,0.007
-1.669,-1.835,-0.387,0.029,0.048,0
-1.769,-1.703,-0.289,0.006,-0.032,-0.001
-1.519,-1.887,-0.472,0.157,0.054,-0.004
-2.124,-1.239,-0.475,0.041,-0.019,0.008
-1.592,-1.705,-0.254,-0.002,-0.02,0.026
-1.671,-1.332,-0.606,0.007,0.109,-0.036
-1.589,-1.695,-0.213,-0.078,0.025,0.023
-1.559,-1.5,-0.364,0.112,0.145,0.044
-1.733,-1.338,-0.382,0.006,0.026,-0.05
-1.586,-1.695,-0.269,-0.022,0.088,-0.005
-1.911,-1.386,-0.429,-0.072,-0.004,-0.011
-1.675,-1.566,-0.219,-0.049,0.023,-0.006
-2.018,-1.31,-0.411,0.068,0.034,-0.007
-1.616,-1.525,-0.256,0.029,0.039,0.015
-1.784,-1.235,-0.379,0.087,0.093,0.006
-1.903,-1.225,-0.347,-0.084,0.026,0.004
-1.782,-1.446,-0.244,0.107,0.125,0.018
-2.31,-0.984,-0.567,0.062,0.118,0.009
-1.688,-1.398,-0.116,-0.089,0.023,0.015
-1.832,-1.1,-0.362,0.046,0.09,0.001
-1.968,-1.117,-0.377,-0.045,-0.032,0.001
-1.835,-1.192,-0.303,0.023,0.043,0.006
-2.13,-1.045,-0.421,0.003,-0.012,0.013
-1.68,-1.239,-0.394,-0.06,-0.015,0.017
-1.852,-1.158,-0.315,-0.012,0.099,0.01
-2.114,-1.031,-0.341,-0.015,0.055,-0.005
-1.856,-1.131,-0.31,0,0.013,-0.012
-2.237,-0.995,-0.283,-0.071,-0.022,-0.015
-1.86,-1.105,-0.327,-0.004,0.039,-0.009
-2.156,-0.924,-0.341,-0.076,0.013,-0.011
-1.882,-1.167,-0.223,-0.015,0.025,0.008
-2.024,-0.96,-0.407,-0.049,0.012,-0.015
-1.972,-1.12,-0.17,-0.087,-0.005,-0.011
-1.907,-1.004,-0.451,0.003,0.027,-0.019
-2.055,-0.953,-0.29,-0.082,-0.105,-0.003
